description,_id,size,date,probability_1_class,probability_1_value,probability_2_class,probability_2_value,probability_3_class,probability_3_value,probability_4_class,probability_4_value,probability_5_class,probability_5_value,probability_6_class,probability_6_value,probability_7_class,probability_7_value,probability_8_class,probability_8_value,probability_9_class,probability_9_value,probability_10_class,probability_10_value,probability_11_class,probability_11_value,probability_12_class,probability_12_value,probability_13_class,probability_13_value,probability_14_class,probability_14_value,probability_15_class,probability_15_value,probability_16_class,probability_16_value
 Campus Miraflores,6280095bae49cd33b56d4985,8640044,2022-05-14 15:21:35,alerts/siren,0.39899999999999997,mechanical/others,0.239,mechanical/air_conditioner,0.1,animal/others,0.071,humans/others,0.034,vehicles/airborne,0.033,environmental/others,0.031,Music/music,0.025,alerts/horns,0.021,environmental/wind,0.018000000000000002,animal/dog,0.013999999999999999,,,,,,,,,,
 Campus Miraflores,62800966ae49cd33b56d4986,8640044,2022-05-13 17:04:26,animal/others,0.32,alerts/siren,0.214,animal/dog,0.10300000000000001,Music/music,0.075,humans/others,0.07400000000000001,environmental/others,0.07200000000000001,mechanical/air_conditioner,0.035,alerts/horns,0.023,environmental/wind,0.023,mechanical/others,0.023,animal/bird,0.021,environmental/rain,0.015,,,,,,,,
 Campus Miraflores,628009c8ae49cd33b56d498e,8640044,2022-05-14 16:20:10,environmental/wind,0.495,alerts/siren,0.18600000000000003,mechanical/others,0.05,humans/others,0.048,alerts/horns,0.037000000000000005,Music/music,0.035,environmental/others,0.031,animal/others,0.03,vehicles/airborne,0.027999999999999997,mechanical/air_conditioner,0.02,animal/bird,0.017,,,,,,,,,,
 Campus Miraflores,628009e4ae49cd33b56d4990,8640044,2022-05-14 00:27:54,alerts/siren,0.44799999999999995,mechanical/others,0.223,alerts/horns,0.109,mechanical/air_conditioner,0.10400000000000001,vehicles/airborne,0.038,Music/music,0.035,animal/others,0.016,environmental/wind,0.01,,,,,,,,,,,,,,,,
 Campus Miraflores,62800a11ae49cd33b56d4993,8640044,2022-05-14 18:44:35,animal/bird,0.713,animal/others,0.105,humans/others,0.07400000000000001,environmental/wind,0.07,animal/dog,0.033,,,,,,,,,,,,,,,,,,,,,,
 Campus Miraflores,62800abaae49cd33b56d499e,8640044,2022-05-14 15:06:26,alerts/siren,0.335,mechanical/others,0.20199999999999999,mechanical/air_conditioner,0.134,humans/others,0.096,alerts/horns,0.071,Music/music,0.054000000000000006,animal/others,0.039,animal/dog,0.03,animal/bird,0.011000000000000001,,,,,,,,,,,,,,
 Campus Miraflores,62800b2cae49cd33b56d49a6,8640044,2022-05-14 00:29:55,environmental/wind,0.293,alerts/siren,0.215,environmental/others,0.11599999999999999,humans/others,0.098,animal/others,0.054000000000000006,environmental/rain,0.05,alerts/horns,0.038,animal/bird,0.031,vehicles/airborne,0.025,mechanical/others,0.022000000000000002,Music/music,0.02,mechanical/air_conditioner,0.015,animal/dog,0.013000000000000001,,,,,,
 Campus Miraflores,62800badae49cd33b56d49ac,8640044,2022-05-13 23:55:36,alerts/siren,0.268,environmental/wind,0.195,environmental/others,0.155,mechanical/others,0.121,humans/others,0.046,alerts/horns,0.045,animal/dog,0.032,Music/music,0.031,animal/others,0.03,mechanical/air_conditioner,0.027000000000000003,animal/bird,0.019,environmental/rain,0.016,vehicles/airborne,0.01,,,,,,
 Campus Miraflores,62800bc9ae49cd33b56d49ae,8640044,2022-05-13 14:09:43,environmental/wind,0.511,alerts/siren,0.17,vehicles/airborne,0.102,alerts/horns,0.049,mechanical/others,0.047,mechanical/air_conditioner,0.039,Music/music,0.018000000000000002,environmental/others,0.018000000000000002,humans/others,0.012,animal/others,0.011000000000000001,,,,,,,,,,,,
 Campus Miraflores,62800cddae49cd33b56d49b3,8640044,2022-05-13 18:08:05,environmental/wind,0.23800000000000002,Music/music,0.196,vehicles/others,0.10099999999999999,environmental/others,0.099,mechanical/others,0.079,alerts/siren,0.053,mechanical/air_conditioner,0.042,humans/others,0.036000000000000004,alerts/horns,0.027000000000000003,animal/bird,0.026000000000000002,mechanical/explosives,0.026000000000000002,animal/others,0.025,environmental/rain,0.022000000000000002,animal/dog,0.015,,,,
 Campus Miraflores,62800d9cae49cd33b56d49b4,8640044,2022-05-13 18:08:05,environmental/wind,0.23800000000000002,Music/music,0.196,vehicles/others,0.10099999999999999,environmental/others,0.099,mechanical/others,0.079,alerts/siren,0.053,mechanical/air_conditioner,0.042,humans/others,0.036000000000000004,alerts/horns,0.027000000000000003,animal/bird,0.026000000000000002,mechanical/explosives,0.026000000000000002,animal/others,0.025,environmental/rain,0.022000000000000002,animal/dog,0.015,,,,
 Campus Miraflores,62800db5ae49cd33b56d49b6,8640044,2022-05-13 20:35:36,alerts/siren,0.284,environmental/wind,0.217,mechanical/others,0.154,alerts/horns,0.10800000000000001,mechanical/air_conditioner,0.066,animal/others,0.054000000000000006,Music/music,0.032,humans/others,0.031,environmental/others,0.015,animal/bird,0.013999999999999999,animal/dog,0.01,,,,,,,,,,
 Campus Miraflores,62800defae49cd33b56d49b8,8640044,2022-05-14 15:54:54,alerts/siren,0.326,environmental/wind,0.163,mechanical/others,0.155,Music/music,0.09699999999999999,animal/others,0.076,alerts/horns,0.048,humans/others,0.036000000000000004,environmental/others,0.028999999999999998,animal/dog,0.027999999999999997,mechanical/air_conditioner,0.017,animal/bird,0.012,,,,,,,,,,
 Campus Miraflores,62800e17ae49cd33b56d49bb,8640044,2022-05-13 17:58:59,animal/others,0.228,mechanical/others,0.205,Music/music,0.126,alerts/siren,0.10400000000000001,environmental/wind,0.09699999999999999,mechanical/air_conditioner,0.055999999999999994,alerts/horns,0.044000000000000004,animal/dog,0.039,humans/others,0.036000000000000004,environmental/others,0.033,animal/bird,0.017,,,,,,,,,,
 Campus Miraflores,62800e5cae49cd33b56d49c0,8640044,2022-05-13 22:39:52,animal/others,0.19,vehicles/airborne,0.151,mechanical/air_conditioner,0.14800000000000002,environmental/others,0.11699999999999999,environmental/wind,0.083,mechanical/others,0.076,humans/others,0.065,alerts/siren,0.045,Music/music,0.038,alerts/horns,0.025,animal/dog,0.016,environmental/rain,0.015,vehicles/others,0.015,,,,,,
 Campus Miraflores,62800ecdae49cd33b56d49c8,8640044,2022-05-13 20:15:23,alerts/siren,0.205,environmental/wind,0.168,mechanical/air_conditioner,0.139,environmental/others,0.131,alerts/horns,0.077,mechanical/others,0.077,animal/others,0.051,Music/music,0.049,vehicles/airborne,0.027000000000000003,humans/others,0.023,environmental/rain,0.019,animal/bird,0.017,animal/dog,0.011000000000000001,,,,,,
 Campus Miraflores,62800efbae49cd33b56d49cb,8640044,2022-05-14 01:06:20,alerts/siren,0.23600000000000002,humans/others,0.23199999999999998,Music/music,0.16899999999999998,animal/dog,0.11,mechanical/air_conditioner,0.086,animal/others,0.05,alerts/horns,0.044000000000000004,mechanical/others,0.027000000000000003,environmental/others,0.011000000000000001,environmental/wind,0.01,,,,,,,,,,,,
 Campus Miraflores,62800f66ae49cd33b56d49cf,8640044,2022-05-13 15:10:18,alerts/siren,0.18899999999999997,mechanical/air_conditioner,0.18100000000000002,mechanical/others,0.147,alerts/horns,0.134,vehicles/airborne,0.111,animal/others,0.08199999999999999,humans/others,0.049,Music/music,0.034,environmental/others,0.028999999999999998,animal/dog,0.016,,,,,,,,,,,,
 Campus Miraflores,62801065ae49cd33b56d49d9,8640044,2022-05-14 20:21:34,animal/bird,0.755,humans/others,0.166,animal/dog,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,
 Campus Miraflores,62801083ae49cd33b56d49db,8640044,2022-05-14 20:18:32,environmental/wind,0.29,alerts/siren,0.21600000000000003,animal/dog,0.133,environmental/others,0.1,mechanical/air_conditioner,0.042,animal/others,0.040999999999999995,mechanical/others,0.040999999999999995,Music/music,0.038,humans/others,0.027000000000000003,alerts/horns,0.022000000000000002,environmental/rain,0.021,animal/bird,0.012,,,,,,,,
 Campus Miraflores,62801091ae49cd33b56d49dc,8640044,2022-05-14 20:15:30,environmental/wind,0.41600000000000004,environmental/others,0.389,environmental/rain,0.07200000000000001,vehicles/others,0.048,vehicles/airborne,0.027999999999999997,,,,,,,,,,,,,,,,,,,,,,
 Campus Miraflores,6280109dae49cd33b56d49dd,8640044,2022-05-14 17:59:08,alerts/horns,0.32899999999999996,mechanical/explosives,0.222,humans/others,0.138,mechanical/others,0.081,mechanical/air_conditioner,0.065,alerts/siren,0.038,mechanical/impact,0.03,animal/others,0.027999999999999997,Music/music,0.022000000000000002,mechanical/digging,0.02,animal/dog,0.012,environmental/others,0.011000000000000001,,,,,,,,
 Campus Miraflores,62801105ae49cd33b56d49e5,8640044,2022-05-13 15:04:15,alerts/horns,0.235,humans/others,0.168,mechanical/others,0.128,mechanical/explosives,0.122,mechanical/air_conditioner,0.12,mechanical/impact,0.055999999999999994,mechanical/digging,0.039,animal/others,0.032,alerts/siren,0.032,Music/music,0.024,environmental/others,0.019,animal/dog,0.013999999999999999,,,,,,,,
 Campus Miraflores,62801171ae49cd33b56d49ed,8640044,2022-05-14 01:45:44,alerts/horns,0.256,humans/others,0.133,mechanical/explosives,0.127,mechanical/air_conditioner,0.114,mechanical/others,0.109,animal/others,0.077,alerts/siren,0.057,environmental/others,0.053,Music/music,0.027999999999999997,mechanical/impact,0.013999999999999999,animal/dog,0.013000000000000001,mechanical/digging,0.012,,,,,,,,
 Campus Miraflores,6280117bae49cd33b56d49ee,8640044,2022-05-14 18:00:08,animal/bird,0.45899999999999996,mechanical/air_conditioner,0.163,animal/dog,0.14300000000000002,humans/others,0.107,animal/others,0.067,vehicles/airborne,0.013999999999999999,alerts/siren,0.012,environmental/wind,0.011000000000000001,,,,,,,,,,,,,,,,
 Campus Miraflores,628011a2ae49cd33b56d49f1,8640044,2022-05-13 17:56:58,alerts/siren,0.29100000000000004,mechanical/others,0.154,environmental/wind,0.129,alerts/horns,0.11199999999999999,animal/others,0.11,Music/music,0.073,mechanical/air_conditioner,0.065,humans/others,0.027999999999999997,animal/bird,0.012,,,,,,,,,,,,,,
 Campus Miraflores,62801233ae49cd33b56d49fc,8640044,2022-05-14 01:37:39,alerts/siren,0.22899999999999998,mechanical/air_conditioner,0.214,mechanical/others,0.14400000000000002,animal/others,0.122,Music/music,0.08199999999999999,animal/dog,0.052000000000000005,environmental/wind,0.048,alerts/horns,0.033,environmental/others,0.028999999999999998,humans/others,0.016,animal/bird,0.013999999999999999,,,,,,,,,,
 Campus Miraflores,628012b4ae49cd33b56d4a06,8640044,2022-05-13 16:59:23,alerts/siren,0.375,mechanical/others,0.28800000000000003,animal/others,0.087,humans/others,0.044000000000000004,mechanical/air_conditioner,0.04,alerts/horns,0.037000000000000005,Music/music,0.032,environmental/wind,0.025,animal/dog,0.019,environmental/others,0.018000000000000002,vehicles/airborne,0.016,animal/bird,0.01,,,,,,,,
 Campus Miraflores,628012eeae49cd33b56d4a0a,8640044,2022-05-13 22:15:36,alerts/siren,0.35700000000000004,environmental/others,0.209,mechanical/others,0.078,alerts/horns,0.077,Music/music,0.066,environmental/wind,0.064,mechanical/air_conditioner,0.045,animal/others,0.027000000000000003,humans/others,0.018000000000000002,animal/bird,0.016,animal/dog,0.012,,,,,,,,,,
 Campus Miraflores,628012fbae49cd33b56d4a0b,8640044,2022-05-13 17:06:27,animal/bird,0.258,mechanical/air_conditioner,0.177,animal/others,0.153,humans/others,0.14400000000000002,mechanical/digging,0.081,animal/dog,0.048,mechanical/others,0.040999999999999995,Music/music,0.024,alerts/siren,0.022000000000000002,mechanical/impact,0.013000000000000001,,,,,,,,,,,,
 Campus Miraflores,628013e5ae49cd33b56d4a1d,8640044,2022-05-13 14:37:58,alerts/siren,0.23600000000000002,mechanical/air_conditioner,0.166,mechanical/others,0.152,alerts/horns,0.126,Music/music,0.092,animal/others,0.07200000000000001,environmental/others,0.049,humans/others,0.042,environmental/wind,0.022000000000000002,animal/dog,0.021,,,,,,,,,,,,
 Campus Miraflores,6280140aae49cd33b56d4a1f,8640044,2022-05-13 13:19:12,alerts/horns,0.273,mechanical/air_conditioner,0.17600000000000002,mechanical/others,0.111,humans/others,0.111,mechanical/explosives,0.09699999999999999,alerts/siren,0.08900000000000001,animal/others,0.042,environmental/others,0.023,Music/music,0.021,mechanical/digging,0.018000000000000002,animal/dog,0.015,mechanical/impact,0.015,,,,,,,,
 Campus Miraflores,6280141bae49cd33b56d4a20,8640044,2022-05-13 19:56:11,mechanical/explosives,0.183,alerts/horns,0.16899999999999998,mechanical/others,0.153,mechanical/air_conditioner,0.142,humans/others,0.139,alerts/siren,0.064,animal/others,0.039,environmental/others,0.027000000000000003,mechanical/digging,0.025,mechanical/impact,0.022000000000000002,animal/dog,0.019,,,,,,,,,,
 Campus Miraflores,62801429ae49cd33b56d4a21,8640044,2022-05-14 00:12:45,alerts/siren,0.307,alerts/horns,0.149,Music/music,0.098,environmental/wind,0.095,mechanical/air_conditioner,0.08800000000000001,mechanical/others,0.078,environmental/others,0.057999999999999996,humans/others,0.045,animal/others,0.039,animal/bird,0.013000000000000001,vehicles/airborne,0.011000000000000001,animal/dog,0.01,,,,,,,,
 Campus Miraflores,62801447ae49cd33b56d4a23,8640044,2022-05-13 21:24:05,alerts/horns,0.862,alerts/siren,0.038,mechanical/others,0.034,mechanical/air_conditioner,0.031,Music/music,0.019,,,,,,,,,,,,,,,,,,,,,,
 Campus Miraflores,6280146eae49cd33b56d4a26,8640044,2022-05-13 20:52:45,alerts/siren,0.39,environmental/wind,0.3,mechanical/air_conditioner,0.096,mechanical/others,0.075,vehicles/airborne,0.028999999999999998,animal/others,0.02,Music/music,0.019,alerts/horns,0.018000000000000002,humans/others,0.017,vehicles/others,0.011000000000000001,,,,,,,,,,,,
 Campus Miraflores,628014ddae49cd33b56d4a2e,8640044,2022-05-13 16:25:02,animal/others,0.485,humans/others,0.368,animal/dog,0.08900000000000001,mechanical/air_conditioner,0.023,Music/music,0.013999999999999999,,,,,,,,,,,,,,,,,,,,,,
 Campus Miraflores,62801556ae49cd33b56d4a37,8640044,2022-05-13 18:35:21,environmental/wind,0.368,alerts/siren,0.22,animal/others,0.152,mechanical/air_conditioner,0.066,Music/music,0.057,mechanical/others,0.035,humans/others,0.027000000000000003,animal/dog,0.017,animal/bird,0.017,vehicles/airborne,0.01,alerts/horns,0.01,,,,,,,,,,
 Campus Miraflores,628015acae49cd33b56d4a3e,8640044,2022-05-14 20:04:23,alerts/siren,0.325,mechanical/others,0.231,alerts/horns,0.168,mechanical/air_conditioner,0.063,Music/music,0.063,animal/others,0.055,environmental/wind,0.052000000000000005,humans/others,0.013999999999999999,,,,,,,,,,,,,,,,
 Campus Miraflores,628015bbae49cd33b56d4a3f,8640044,2022-05-14 15:09:27,alerts/siren,0.321,vehicles/airborne,0.23399999999999999,mechanical/air_conditioner,0.14800000000000002,animal/others,0.107,alerts/horns,0.043,mechanical/others,0.038,humans/others,0.03,environmental/wind,0.027000000000000003,Music/music,0.021,animal/dog,0.013000000000000001,,,,,,,,,,,,
 Campus Miraflores,628015efae49cd33b56d4a43,8640044,2022-05-13 14:35:58,alerts/siren,0.326,mechanical/others,0.268,animal/others,0.084,alerts/horns,0.08199999999999999,mechanical/air_conditioner,0.08199999999999999,Music/music,0.061,environmental/wind,0.036000000000000004,animal/dog,0.024,humans/others,0.015,environmental/others,0.012,,,,,,,,,,,,
 Campus Miraflores,62801664ae49cd33b56d4a4c,8640044,2022-05-13 22:34:49,environmental/wind,0.528,vehicles/airborne,0.23800000000000002,environmental/others,0.08900000000000001,environmental/rain,0.035,mechanical/others,0.028999999999999998,alerts/siren,0.025,animal/bird,0.012,animal/others,0.011000000000000001,,,,,,,,,,,,,,,,
 Campus Miraflores,6280166fae49cd33b56d4a4d,8640044,2022-05-13 16:30:05,Music/music,0.27899999999999997,alerts/siren,0.235,alerts/horns,0.109,environmental/wind,0.106,mechanical/others,0.064,environmental/others,0.055999999999999994,humans/others,0.044000000000000004,mechanical/air_conditioner,0.043,animal/others,0.03,environmental/rain,0.01,,,,,,,,,,,,
 Campus Miraflores,628016a6ae49cd33b56d4a51,8640044,2022-05-14 17:54:05,environmental/wind,0.6459999999999999,mechanical/air_conditioner,0.099,alerts/siren,0.052000000000000005,animal/others,0.037000000000000005,environmental/rain,0.028999999999999998,environmental/others,0.027000000000000003,mechanical/others,0.025,vehicles/others,0.021,animal/bird,0.02,humans/others,0.013999999999999999,animal/dog,0.013000000000000001,,,,,,,,,,
 Campus Miraflores,62801753ae49cd33b56d4a5e,8640044,2022-05-14 20:10:27,animal/bird,0.7909999999999999,animal/dog,0.115,humans/others,0.081,animal/others,0.011000000000000001,,,,,,,,,,,,,,,,,,,,,,,,
 Campus Miraflores,62801778ae49cd33b56d4a61,8640044,2022-05-13 17:11:31,alerts/siren,0.25,environmental/wind,0.239,mechanical/others,0.195,alerts/horns,0.078,mechanical/air_conditioner,0.073,Music/music,0.051,humans/others,0.045,animal/others,0.023,vehicles/airborne,0.015,environmental/others,0.011000000000000001,,,,,,,,,,,,
 Campus Miraflores,62801792ae49cd33b56d4a63,8640044,2022-05-14 19:30:03,animal/bird,0.56,humans/others,0.276,animal/dog,0.081,animal/others,0.046,mechanical/air_conditioner,0.035,,,,,,,,,,,,,,,,,,,,,,
 Campus Miraflores,628017bcae49cd33b56d4a66,8640044,2022-05-14 18:12:16,alerts/siren,0.191,environmental/wind,0.16899999999999998,Music/music,0.156,mechanical/others,0.121,humans/others,0.079,environmental/others,0.069,mechanical/air_conditioner,0.06,animal/dog,0.045,animal/others,0.040999999999999995,alerts/horns,0.027999999999999997,environmental/rain,0.02,animal/bird,0.013000000000000001,,,,,,,,
 Campus Miraflores,628017faae49cd33b56d4a6b,8640044,2022-05-13 18:20:12,environmental/wind,0.865,vehicles/others,0.022000000000000002,vehicles/airborne,0.02,mechanical/air_conditioner,0.018000000000000002,animal/others,0.017,alerts/siren,0.017,animal/dog,0.01,,,,,,,,,,,,,,,,,,
 Campus Miraflores,62801811ae49cd33b56d4a6d,8640044,2022-05-13 14:38:59,environmental/wind,0.37,mechanical/others,0.19699999999999998,humans/others,0.133,mechanical/air_conditioner,0.075,animal/dog,0.049,animal/bird,0.03,environmental/others,0.027999999999999997,vehicles/airborne,0.024,animal/others,0.023,vehicles/others,0.023,alerts/siren,0.012,Music/music,0.01,environmental/rain,0.01,,,,,,
 Campus Miraflores,6280184aae49cd33b56d4a71,8640044,2022-05-14 17:55:06,environmental/wind,0.32899999999999996,mechanical/others,0.218,alerts/siren,0.157,mechanical/air_conditioner,0.086,Music/music,0.061,vehicles/others,0.038,animal/others,0.038,alerts/horns,0.016,animal/bird,0.013999999999999999,humans/others,0.013000000000000001,environmental/others,0.012,,,,,,,,,,
 Campus Miraflores,62801891ae49cd33b56d4a76,8640044,2022-05-14 15:58:56,environmental/wind,0.19399999999999998,alerts/siren,0.179,mechanical/air_conditioner,0.157,vehicles/airborne,0.125,mechanical/others,0.114,animal/others,0.053,Music/music,0.047,environmental/others,0.033,humans/others,0.031,vehicles/others,0.015,environmental/rain,0.013999999999999999,animal/dog,0.012,,,,,,,,
 Campus Miraflores,628018adae49cd33b56d4a78,8640044,2022-05-14 01:52:48,alerts/siren,0.439,mechanical/others,0.136,alerts/horns,0.125,mechanical/air_conditioner,0.059000000000000004,environmental/wind,0.057999999999999996,Music/music,0.043,animal/others,0.037000000000000005,vehicles/airborne,0.035,humans/others,0.027000000000000003,environmental/others,0.019,,,,,,,,,,,,
 Campus Miraflores,628018e4ae49cd33b56d4a7c,8640044,2022-05-13 18:54:34,alerts/siren,0.252,environmental/wind,0.19899999999999998,Music/music,0.1,animal/others,0.094,humans/others,0.09300000000000001,mechanical/others,0.09,animal/dog,0.075,mechanical/air_conditioner,0.031,animal/bird,0.027999999999999997,environmental/others,0.013000000000000001,alerts/horns,0.011000000000000001,,,,,,,,,,
 Campus Miraflores,628018eeae49cd33b56d4a7d,8640044,2022-05-14 01:12:24,animal/others,0.247,alerts/siren,0.16399999999999998,mechanical/air_conditioner,0.125,mechanical/others,0.095,environmental/wind,0.092,animal/dog,0.079,humans/others,0.067,Music/music,0.046,environmental/others,0.027999999999999997,animal/bird,0.02,,,,,,,,,,,,
 Campus Miraflores,62801923ae49cd33b56d4a81,8640044,2022-05-14 18:30:27,animal/bird,0.33,humans/others,0.312,Music/music,0.129,animal/others,0.059000000000000004,animal/dog,0.035,vehicles/airborne,0.028999999999999998,mechanical/air_conditioner,0.022000000000000002,alerts/horns,0.019,environmental/wind,0.016,mechanical/others,0.013999999999999999,mechanical/cutting,0.01,,,,,,,,,,
 Campus Miraflores,6280193dae49cd33b56d4a83,8640044,2022-05-14 01:42:42,alerts/siren,0.501,mechanical/others,0.15,mechanical/air_conditioner,0.121,animal/others,0.08199999999999999,environmental/wind,0.037000000000000005,alerts/horns,0.026000000000000002,Music/music,0.022000000000000002,vehicles/airborne,0.018000000000000002,humans/others,0.017,,,,,,,,,,,,,,
 Campus Miraflores,62801960ae49cd33b56d4a86,8640044,2022-05-14 18:19:20,environmental/wind,0.426,mechanical/air_conditioner,0.244,vehicles/others,0.201,mechanical/others,0.064,environmental/rain,0.024,alerts/siren,0.012,,,,,,,,,,,,,,,,,,,,
 Campus Miraflores,62801977ae49cd33b56d4a87,8640044,2022-05-13 13:26:17,alerts/horns,0.221,mechanical/others,0.209,alerts/siren,0.2,mechanical/air_conditioner,0.141,Music/music,0.078,environmental/others,0.044000000000000004,environmental/wind,0.03,animal/others,0.023,humans/others,0.013000000000000001,vehicles/airborne,0.013000000000000001,animal/dog,0.012,,,,,,,,,,
 Campus Miraflores,628019baae49cd33b56d4a8a,8640044,2022-05-14 20:08:26,animal/bird,0.41100000000000003,humans/others,0.29,mechanical/air_conditioner,0.157,animal/dog,0.095,animal/others,0.024,,,,,,,,,,,,,,,,,,,,,,
 Campus Miraflores,628019eeae49cd33b56d4a8e,8640044,2022-05-13 17:42:49,alerts/siren,0.218,mechanical/others,0.155,mechanical/air_conditioner,0.153,alerts/horns,0.121,environmental/others,0.11800000000000001,animal/others,0.071,environmental/wind,0.057,animal/dog,0.036000000000000004,Music/music,0.03,humans/others,0.017,,,,,,,,,,,,
 Campus Miraflores,62801a07ae49cd33b56d4a90,8640044,2022-05-14 00:14:46,alerts/horns,0.975,mechanical/others,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Campus Miraflores,62801a81ae49cd33b56d4a99,8640044,2022-05-13 14:21:49,alerts/siren,0.198,animal/others,0.158,vehicles/airborne,0.135,environmental/others,0.096,mechanical/air_conditioner,0.08,mechanical/others,0.071,Music/music,0.064,humans/others,0.06,environmental/wind,0.057,animal/dog,0.026000000000000002,alerts/horns,0.02,animal/bird,0.012,environmental/rain,0.012,,,,,,
 Campus Miraflores,62801a8dae49cd33b56d4a9a,8640044,2022-05-13 17:14:33,environmental/wind,0.41200000000000003,environmental/others,0.253,vehicles/airborne,0.188,environmental/rain,0.053,humans/others,0.027000000000000003,vehicles/others,0.018000000000000002,,,,,,,,,,,,,,,,,,,,
 Campus Miraflores,62801acfae49cd33b56d4a9f,8640044,2022-05-14 09:06:54,alerts/siren,0.9990000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
